Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,7b94b3f9d4164d1aa859ef8bb0320686,S01 Sustentabilidade na prática,2022-04-04 21:30:27.237240+00:00,2022-04-04 21:30:33.378953+00:00,,5.0,1.0000,document
Associação PiPA,IsabellaAP22,97ce1326309941d8a05ae1e0cae04e19,Vocacional,dc06934c6d2c4cec974683a63ac93a02,,2022-04-04 21:31:39.480682+00:00,2022-04-04 21:33:08.158341+00:00,,85.0,1.0000,document
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,39dd8386566046b6bed0cb9057f2278a,1° Desafio: Aula Teste de Geometria,2022-04-04 21:41:36.147589+00:00,2022-04-04 21:42:53.771804+00:00,,45.4,0.1490,video
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,f61a043d0c144d9bb853312e263e5697,Introdução à Geopolítica,2022-04-04 22:44:49.672198+00:00,2022-04-04 22:54:08.393156+00:00,,20.0,0.3330,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,4f036c8c3d96435095cec48172e40a88,Os Números - Artefato I,2022-04-04 22:54:42.243986+00:00,2022-04-04 22:54:50.834152+00:00,,5.0,0.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,92f74241f93e575a9a41ca124298e19b,História dos números,2022-04-04 22:54:52.617350+00:00,2022-04-04 22:55:10.890511+00:00,,0.5,0.0040,video
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,d6a02486a11f4370b51a132a7e963e56,Os Números - Comunicação Interplanetária,2022-04-04 22:55:12.555237+00:00,2022-04-04 22:55:34.008802+00:00,,20.0,1.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,6dc0282b745a49aeb32321ea59caa52a,Os Números - Conquistas do Trecho,2022-04-04 22:55:38.290394+00:00,2022-04-04 22:56:09.807918+00:00,,30.0,1.0000,document
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 00:50:57.733413+00:00,2022-04-05 00:51:28.427223+00:00,,27.6,0.5000,document
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 00:52:08.695762+00:00,2022-04-05 00:52:12.695639+00:00,,3.0,0.0000,document
